設備類型,頻率,CSV檔案,顯示名稱
事務機,每月,事務機_每月.csv,事務機月檢
事務機,每兩個月,事務機_每兩個月.csv,事務機雙月檢
文具櫃,每兩個月,文具櫃_每兩個月.csv,文具巡檢
植栽,每週,植栽_每週.csv,植栽週檢
植栽,每月,植栽_每月.csv,植栽月檢
環境清潔,每週,環境清潔_每週.csv,環境週清
環境清潔,雙週,環境清潔_雙週.csv,環境雙週清
冰箱,每週,冰箱_每週.csv,冰箱週檢
冰箱,雙週,冰箱_雙週.csv,冰箱雙週檢
咖啡機,每日,咖啡機_每日.csv,咖啡機日檢
咖啡機,每兩個月,咖啡機_每兩個月.csv,咖啡機雙月檢
