設備ID,QR碼,長度,寬度,顏色
CHI-C2-C1-01,38d4057968096d37,7cm,2cm,白色
CHI-C7-C3-01,41b0b97706c28b37,7cm,2cm,白色
CHI-C7-C4-01,3b021eabce9a289b,7cm,2cm,白色
