設備ID,QR碼,長度,寬度,顏色
FAN-A23-A1-01,4d6d324d2ee59f31,7cm,2cm,白色
FAN-A23-A2-01,9039d602364599d7,7cm,2cm,白色
FAN-A23-A3-01,5c2c14677629b703,7cm,2cm,白色
FAN-A23-A4-01,b3a41096721a00f8,7cm,2cm,白色
FAN-C24-C1-01,8e23171af43399ac,7cm,2cm,白色
FAN-C24-C2-01,24fe1f997a261b16,7cm,2cm,白色
FAN-A3-A1-01,b51da1c2d25e12ae,7cm,2cm,白色
FAN-C2-C1-01,94d2f994b25206f3,7cm,2cm,白色
FAN-C3-C1-01,2f95c7ba28f4c2fe,7cm,2cm,白色
FAN-C7-C1-01,38ee665af8ca0c48,7cm,2cm,白色
FAN-C7-C3-01,4f7c24aea0f9dd53,7cm,2cm,白色
FAN-C7-C4-01,0f9709c8ec743b27,7cm,2cm,白色
FAN-C8-C1-01,280aed0eba8359f8,7cm,2cm,白色
FAN-C8-C2-01,afd87d49bce4448e,7cm,2cm,白色
FAN-C8-C3-01,f08fd91eb8cb499a,7cm,2cm,白色
FAN-C8-C4-01,27b77f2fde5459d1,7cm,2cm,白色
FAN-C23-C1-01,9301611629d383bb,7cm,2cm,白色
FAN-C23-C2-01,c599b6cfbe5f8d94,7cm,2cm,白色
FAN-C26-C1-01,16b3dc6d0af64e82,7cm,2cm,白色
FAN-C26-C2-01,c21b2abd1947dfde,7cm,2cm,白色
FAN-C26-C3-01,5e434e791455af59,7cm,2cm,白色
FAN-C26-C4-01,a9c0acf54830bc10,7cm,2cm,白色
FAN-AB3-A1-01,b00c161493e6400b,7cm,2cm,白色
