設備ID,QR碼,長度,寬度,顏色
LABPOW-AB3-A1-26,7402eaa10a55ca5b,7cm,2cm,白色
LABPOW-C2-C1-05,6bf701587a37f0fb,7cm,2cm,白色
LABPOW-C2-C1-06,2de071887c55714a,7cm,2cm,白色
LABPOW-C2-C1-07,07d100e26605b3b5,7cm,2cm,白色
LABPOW-C2-C1-16,13726a976aefa534,7cm,2cm,白色
LABPOW-C3-C1-11,b85441644ec24c48,7cm,2cm,白色
LABPOW-C3-C1-17,45ca71b65184a805,7cm,2cm,白色
LABPOW-C7-C3C4-22,239171f427ef529f,7cm,2cm,白色
LABPOW-C8-C3-09,7a561af842a77d39,7cm,2cm,白色
LABPOW-C8-C3-12,e45406d417c45a25,7cm,2cm,白色
