﻿﻿類別ID,類別名稱,圖示,頻率,ID前綴
1,滅火器,🧯,每月,FIREXT
2,自動門,🚪,每季,AUTD
3,逃生門,🚪,每月,EXIT
4,防火鐵捲門,🔥,每月,FIRD
5,送風機,💨,每月,FAN
6,緊急沖眼器查檢表,👁️,每月,EYE
7,氣冷箱型冷氣機,❄️,每月,CHI
8,化學品洩漏處理車,🧪,每月,CHEMCART
9,化學品室環境,🧪,每月,CHEM
10,實驗室大電盤,⚡,每月,LABPOW-BIG
11,辦公室機房電盤,⚡,每月,OFFPOW-SERVER
12,辦公室小電盤,⚡,每月,OFFPOW-SMALL
13,辦公室大盤和實驗室小盤,⚡,每月,LABPOW-MIX
15,會議室,🏢,每週,ROOM
16,區域,📍,每月,OFA
20,主管座車,🚗,每月,CAR
21,一般車輛,🚙,每日,CAR-GEN
